Time,Current,AcX,AcY,AcZ,GyX,GyY,GyZ,Freq
19:05:32.950,0.03,-11316,4840,-11196,204,5,-58,90.90
19:05:32.958,0.01,-11384,4804,-11164,197,14,-54,99.99
19:05:32.970,0.01,-11376,4824,-11264,188,24,-85,99.99
19:05:32.982,0.02,-11312,4840,-11316,219,24,-61,99.99
19:05:32.991,0.02,-11364,4836,-11204,210,20,-59,83.33
19:05:33.003,0.02,-11392,4784,-11124,187,4,-84,99.99
19:05:33.011,0.04,-11392,4844,-11112,229,8,-51,99.99
19:05:33.023,0.02,-11360,4844,-11156,192,-4,-63,99.99
19:05:33.032,0.03,-11372,4848,-11236,190,1,-72,99.99
19:05:33.044,0.02,-11252,4692,-11280,205,10,-68,90.90
19:05:33.052,0.03,-11260,4772,-11244,177,-27,-57,90.90
19:05:33.065,0.02,-11396,4804,-11324,179,-1,-69,99.99
19:05:33.073,0.03,-11328,4808,-11196,194,22,-86,99.99
19:05:33.085,0.02,-11356,4800,-11260,203,26,-74,90.90
19:05:33.097,0.02,-11320,4828,-11320,196,0,-74,99.99
19:05:33.106,0.04,-11268,4760,-11204,192,30,-59,99.99
19:05:33.117,0.02,-11300,4772,-11332,215,6,-58,99.99
19:05:33.126,0.04,-11356,4744,-11288,187,41,-45,83.33
19:05:33.138,0.02,-11312,4828,-11340,185,10,-49,99.99
19:05:33.146,0.03,-11296,4860,-11188,207,-9,-68,99.99
19:05:33.159,0.03,-11328,4760,-11332,219,7,-24,99.99
19:05:33.167,0.03,-11320,4780,-11248,164,25,-43,90.90
19:05:33.179,0.03,-11400,4808,-11360,206,-7,-82,99.99
19:05:33.187,0.03,-11300,4816,-11204,178,8,-79,90.90
19:05:33.200,0.04,-11320,4720,-11236,199,8,-79,99.99
19:05:33.211,0.01,-11380,4892,-11288,180,-21,-56,90.90
19:05:33.220,0.03,-11328,4848,-11324,214,0,-73,99.99
19:05:33.232,0.04,-11424,4792,-11252,223,18,-64,99.99
19:05:33.240,0.04,-11352,4752,-11280,163,19,-71,99.99
19:05:33.253,0.04,-11316,4824,-11272,197,-10,-60,90.90
19:05:33.261,0.04,-11340,4784,-11144,202,9,-72,90.90
19:05:33.273,0.01,-11304,4788,-11276,188,11,-61,99.99
19:05:33.281,0.03,-11308,4784,-11304,215,-34,-68,99.99
19:05:33.294,0.03,-11316,4796,-11292,192,-13,-71,90.90
19:05:33.306,0.03,-11292,4784,-11200,186,-11,-68,99.99
19:05:33.314,0.03,-11324,4876,-11316,198,19,-57,99.99
19:05:33.326,0.02,-11332,4780,-11252,190,25,-69,90.90
19:05:33.335,0.03,-11332,4756,-11380,204,1,-74,90.90
19:05:33.347,0.02,-11364,4808,-11224,182,51,-53,99.99
19:05:33.355,0.03,-11356,4856,-11184,200,25,-63,99.99
19:05:33.367,0.00,-11364,4852,-11360,163,-13,-16,99.99
19:05:33.376,0.04,-11300,4800,-11200,178,13,-89,83.33
19:05:33.388,0.02,-11324,4812,-11320,197,49,-58,99.99
19:05:33.403,0.03,-11388,4800,-11216,192,16,-83,99.99
19:05:33.419,0.01,-11276,4892,-11144,203,66,-66,99.99
19:05:33.436,0.02,-11308,4764,-11208,211,21,-46,99.99
19:05:33.437,0.02,-11352,4804,-11284,172,30,-107,90.90
19:05:33.442,0.04,-11372,4812,-11264,197,5,-78,90.90
19:05:33.459,0.02,-11324,4764,-11148,225,33,-82,99.99
19:05:33.462,0.02,-11336,4780,-11224,200,3,-41,99.99
19:05:33.470,0.02,-11324,4760,-11136,223,21,-58,90.90
19:05:33.482,0.02,-11284,4840,-11176,187,27,-63,99.99
19:05:33.490,0.02,-11336,4836,-11256,170,7,-74,90.90
19:05:33.503,0.03,-11308,4836,-11196,198,25,-53,99.99
19:05:33.515,0.02,-11344,4836,-11264,202,-42,-64,90.90
19:05:33.523,0.02,-11352,4816,-11272,215,-3,-49,99.99
19:05:33.535,0.02,-11348,4872,-11264,211,17,-62,99.99
